name,date,category,tags,labels,lank
ファミリーコンピュータ,1983-07-15,hardware,"nintendo,home,fc"
ファミリーコンピュータ ディスクシステム,1986-02-21,hardware,"nintendo,home,fc,fcdc"
スーパーファミコン,1990-11-21,hardware,"nintendo,home,sfc"
NINTENDO 64,1996-06-23,hardware,"nintendo,home,n64"
ゲームキューブ,2001-09-14,hardware,"nintendo,home,gc"
Wii,2006-12-02,hardware,"nintendo,home,wii"
Wii U,2012-12-08,hardware,"nintendo,home,wiiu"
Nintendo Switch,2017-03-03,hardware,"nintendo,home,portable,switch"
Nintendo Switch 2,2025-06-05,hardware,"nintendo,home,portable,switch"
スーパースコープ,1993-06-21,hardware,"nintendo,home,sfc",,2
バーチャルボーイ,1995-07-21,hardware,"nintendo,home",,2
スーパーゲームボーイ,1994-06-14,hardware,"nintendo,home,sfc,gb",,2
スーパーゲームボーイ2,1998-01-30,hardware,"nintendo,home,sfc,gb",,2
ゲームボーイ,1989-04-21,hardware,"nintendo,portable,gb"
ゲームボーイカラー,1998-10-21,hardware,"nintendo,portable,gb"
ゲームボーイアドバンス,2001-03-21,hardware,"nintendo,portable,gba"
ニンテンドーDS,2004-12-02,hardware,"nintendo,portable,nds"
ニンテンドー3DS,2011-02-26,hardware,"nintendo,portable,3ds"

PlayStation,1994-12-03,hardware,"sony,home,ps1"
PlayStation 2,2000-03-04,hardware,"sony,home,ps2"
PlayStation 3,2006-11-11,hardware,"sony,home,ps3"
PlayStation 4,2014-02-22,hardware,"sony,home,ps4"
PlayStation 5,2020-11-12,hardware,"sony,home,ps5"
PlayStation Portable,2004-12-12,hardware,"sony,portable,psp"
PlayStation Portable go,2009-11-01,hardware,"sony,portable,psp",,2
PlayStation Vita,2011-12-17,hardware,"sony,portable,psvita"
PlayStation Vita TV,2013-11-14,hardware,"sony,home,psvita",,2
PlayStation Portal,2023-11-15,hardware,"sony,portable,ps5",,2
PlayStation VR,2016-10-13,hardware,"sony,home,ps4"
PlayStation VR2,2023-02-22,hardware,"sony,home,ps5",,2

メガドライブ,1988-10-29,hardware,"sega,home,md"
セガサターン,1994-11-22,hardware,"sega,home,ss"
ドリームキャスト,1998-11-27,hardware,"sega,home,dc"
ゲームギア,1990-10-06,hardware,"sega,portable,gg"

NEOGEO,1990-04-26,hardware,"snk,home,ng"
NEOGEO CD,1994-09-09,hardware,"snk,home,ng,ngcd",,2
ネオジオポケット,1998-10-28,hardware,"snk,portable,ngp"
ネオジオポケットカラー,1999-03-19,hardware,"snk,portable,ngp,ngpc"

Xbox,2002-02-22,hardware,"microsoft,home,xbox"
Xbox 360,2005-12-10,hardware,"microsoft,home,xbox"
Xbox One,2014-09-04,hardware,"microsoft,home,xbox"
Xbox Series X,2020-11-10,hardware,"microsoft,home,xbox"
Xbox Series S,2020-11-10,hardware,"microsoft,home,xbox"

PCエンジン,1987-10-30,hardware,"nec,home,pce"
PC-FX,1994-12-23,hardware,"nec,home,pcfx"
3DO,1994-03-20,hardware,"3do,home"
ワンダースワン,1999-03-04,hardware,"bandai,portable,ws"
ワンダースワンカラー,2000-12-09,hardware,"bandai,portable,ws,wsc"

マリオブラザーズ,1983-09-09,software,"nintendo","fc"
スーパーマリオブラザーズ,1985-09-13,software,"nintendo","fc"
スーパーマリオブラザーズ2,1986-06-03,software,"nintendo","fcdc"
スーパーマリオブラザーズ3,1988-10-23,software,"nintendo","fc"
スーパーマリオランド,1989-04-21,software,"nintendo","gb"
スーパーマリオUSA,1992-09-14,software,"nintendo","fc"
スーパーマリオワールド,1990-11-21,software,"nintendo","sfc"
スーパーマリオランド2 6つの金貨,1992-10-21,software,"nintendo","gb"
スーパーマリオコレクション,1993-07-14,software,"nintendo","sfc"
スーパーマリオ64,1996-06-23,software,"nintendo","n64"
スーパーマリオサンシャイン,2002-07-19,software,"nintendo","gc"
スーパーマリオギャラクシー,2007-11-01,software,"nintendo","wii"
New スーパーマリオブラザーズ Wii,2009-12-03,software,"nintendo","wii"
スーパーマリオギャラクシー2,2010-05-27,software,"nintendo","wii"
New スーパーマリオブラザーズ U,2012-12-18,software,"nintendo","wiiu"
スーパーマリオ オデッセイ,2017-10-27,software,"nintendo","switch"
スーパーマリオブラザーズ ワンダー,2023-10-20,software,"nintendo","switch"

スーパーマリオカート,1992-08-27,software,"nintendo","sfc"
マリオカート64,1996-12-14,software,"nintendo","n64"
マリオカートアドバンス,2001-07-21,software,"nintendo","gba",3
マリオカート ダブルダッシュ!!,2003-11-07,software,"nintendo","gc",3
マリオカートDS,2005-11-14,software,"nintendo","nds",3
マリオカートWii,2008-04-10,software,"nintendo","wii"
マリオカート7,2011-12-01,software,"nintendo","3ds",3
マリオカート8,2014-05-29,software,"nintendo","wiiu"
マリオカート ワールド,2025-06-05,software,"nintendo","switch2"

マリオペイント,1992-07-14,software,"nintendo","sfc"
スーパーマリオメーカー,2015-09-10,software,"nintendo","wiiu"
スーパーマリオメーカー2,2019-06-28,software,"nintendo","switch"

スーパーマリオRPG,1996-03-09,software,"nintendo","sfc"

ドクターマリオ,1990-07-27,software,"nintendo","fc,gb",2
マリオのピクロス,1995-03-14,software,"nintendo","gb",2
マリオのスーパーピクロス,1995-09-14,software,"nintendo","sfc",2

ワリオの森,1994-02-19,software,"nintendo","fc",2
マリオとワリオ,1993-08-27,software,"nintendo","sfc",3
スーパーマリオランド3 ワリオランド,1994-01-21,software,"nintendo","gb",3

ヨッシーのたまご,1991-12-14,software,"nintendo","fc,gb"
ヨッシーのクッキー,1992-11-21,software,"nintendo","fc,gb"
ヨッシーアイランド,1995-08-05,software,"nintendo","sfc"
ヨッシークラフトワールド,2019-03-29,software,"nintendo","switch"

ゼルダの伝説,1986-02-21,software,"nintendo","fcdc"
リンクの冒険,1987-01-14,software,"nintendo","fcdc",3
ゼルダの伝説 神々のトライフォース,1991-11-21,software,"nintendo","sfc"
ゼルダの伝説 夢をみる島,1993-06-06,software,"nintendo","gb"
ゼルダの伝説 時のオカリナ,1998-11-21,software,"nintendo","n64"
ゼルダの伝説 ムジュラの仮面,2000-04-27,software,"nintendo","n64"
ゼルダの伝説 ふしぎのぼうし,2004-11-04,software,"nintendo","gba"
ゼルダの伝説 スカイウォードソード,2011-11-23,software,"nintendo","wii"
